gbifid	x	y	plant	eventdate	day	month	year
1796623317	0	0	sage				
1796598325	0	0	sage	1904-06-10T01:00Z	10	6	1904
1796589852	0	0	sage				
1796589079	0	0	sage	1969-06-19T01:00Z	19	6	1969
1796567435	0	0	sage				
1796533374	0	0	sage				
1796527060	0	0	sage				
1796500173	0	0	sage	1977-07-11T01:00Z	11	7	1977
1796498244	0	0	sage				
1796435287	0	0	sage	1906-06-06T01:00Z	6	6	1906
1796417079	0	0	sage				
1796264090	0	0	sage				
1796243118	0	0	sage				
1796189776	0	0	sage				
1796156809	0	0	sage				
1796115998	0	0	sage				
1796115408	0	0	sage				
1796109050	0	0	sage				
1796060222	0	0	sage				
1796057420	0	0	sage				
1795978443	0	0	sage				
1795947246	0	0	sage	1913-05-07T01:00Z	7	5	1913
1795932846	0	0	sage				
1795921152	0	0	sage				
1795914016	0	0	sage	1989-05-07T02:00Z	7	5	1989
1795909847	0	0	sage	1877-01-01T01:00Z			1877
1675521488	0	0	sage	1995-05-06T02:00Z	6	5	1995
1675520184	0	0	sage	1995-04-16T02:00Z	16	4	1995
1675519777	0	0	sage	1996-05-04T02:00Z	4	5	1996
1675519629	0	0	sage	1996-05-01T02:00Z	1	5	1996
1675519350	0	0	sage	1996-04-05T02:00Z	5	4	1996
1675519069	0	0	sage	1995-05-20T02:00Z	20	5	1995
1675518624	0	0	sage	1988-09-18T02:00Z	18	9	1988
1675518210	0	0	sage	1983-09-28T01:00Z	28	9	1983
1675518209	0	0	sage	1985-10-25T01:00Z	25	10	1985
1675518203	0	0	sage	1995-04-20T02:00Z	20	4	1995
1675517556	0	0	sage	1992-04-03T02:00Z	3	4	1992
1675517552	0	0	sage	1992-03-08T01:00Z	8	3	1992
1675511631	0	0	sage	1996-05-04T02:00Z	4	5	1996
1675511283	0	0	sage				
1675510979	0	0	sage	1996-03-31T01:00Z	31	3	1996
1675509719	0	0	sage				
1675509346	0	0	sage				
1213527802	0	0	sage	1998-11-26T01:00Z	26	11	1998
1213527780	0	0	sage	2011-05-26T02:00Z	26	5	2011
1213527749	0	0	sage	2010-12-08T01:00Z	8	12	2010
1213527722	0	0	sage	2009-11-20T01:00Z	20	11	2009
1213527716	0	0	sage	2009-11-20T01:00Z	20	11	2009
1213527620	0	0	sage	2006-10-26T02:00Z	26	10	2006
1213527612	0	0	sage	2006-12-05T01:00Z	5	12	2006
1213527309	0	0	sage	2005-05-26T02:00Z	26	5	2005
1213527267	0	0	sage	2004-08-15T02:00Z	15	8	2004
1213527265	0	0	sage	2004-10-04T02:00Z	4	10	2004
1213527257	0	0	sage	2004-10-04T02:00Z	4	10	2004
1213527227	0	0	sage	2004-04-16T02:00Z	16	4	2004
1213527213	0	0	sage	2004-04-16T02:00Z	16	4	2004
1213527207	0	0	sage	2003-12-10T01:00Z	10	12	2003
1213527194	0	0	sage	2003-10-15T02:00Z	15	10	2003
1213527136	0	0	sage	2002-04-13T02:00Z	13	4	2002
1213526677	0	0	sage	1992-11-08T01:00Z	8	11	1992
1135075238	0	0	sage	1998-10-13T02:00Z	13	10	1998
1097715860	0	0	sage	1964-10-01T01:00Z		10	1964
1097340107	0	0	sage	1913-09-01T01:00Z		9	1913
1095635184	0	0	sage	2014-02-26T01:00Z	26	2	2014
1095611856	0	0	sage	2004-08-01T02:00Z		8	2004
1095609720	0	0	sage	2003-12-10T01:00Z	10	12	2003
1095609709	0	0	sage	2004-04-16T02:00Z	16	4	2004
1095609405	0	0	sage	2004-04-16T02:00Z	16	4	2004
1095607759	0	0	sage	2003-10-15T02:00Z	15	10	2003
1095607587	0	0	sage	2003-06-11T02:00Z	11	6	2003
1095584719	0	0	sage	2000-06-07T02:00Z	7	6	2000
1095574597	0	0	sage				
1095573567	0	0	sage				
1095565109	0	0	sage				
1095562682	0	0	sage				
1095548570	0	0	sage				
1095548569	0	0	sage				
1095548566	0	0	sage				
1095548563	0	0	sage				
